Mã sản phẩm,Tên sản phẩm,Mô tả,Giá,sale,giá sau sale,Giới tính,Loại sản phẩm,Link sp
1,Adizero EVO SL,Men's running shoes,4.000.000 đ,,,Nam,Chạy bộ,https://www.adidas.com.vn/vi/giay-adizero-evo-sl/JH6206.html
2,Adizero EVO SL,Women's running shoes,4.000.000 đ,,,Nữ,Chạy bộ,https://www.adidas.com.vn/vi/giay-adizero-evo-sl/JH6208.html
3,D.O.N ISSUE #6 Panama,Basketball Shoes,3.200.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/giay-bong-ro-d.o.n-issue-6-panama/IG9089.html
4,Ultrarun 5,Men's running shoes,2.200.000 đ,,,Nam,Chạy bộ,https://www.adidas.com.vn/vi/giay-chay-bo-ultrarun-5/IE8786.html
5,SMU HARDEN VOLUME 8,Basketball Shoes,3.800.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/smu-harden-volume-8/JQ2393.html
6,Trainer Dame 9 Low,Basketball Shoes,3.200.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/giay-trainer-dame-9-low/JI1939.html
7,Supernova Rise,Men's running shoes,3.800.000 đ,,,Nam,Chạy bộ,https://www.adidas.com.vn/vi/giay-chay-bo-supernova-rise/ID8782.html
8,Ultrarun 5,Women's running shoes,2.200.000 đ,,,Nữ,Chạy bộ,https://www.adidas.com.vn/vi/giay-chay-bo-ultrarun-5-nu/IE8802.html
9,Adidas Switch Fwd 2,Men's running shoes,3.800.000 đ,,,Nam,Chạy bộ,https://www.adidas.com.vn/vi/giay-chay-bo-adidas-switch-fwd-2/IF6757.html
10,Ultraboost 5,Men's running shoes,4.900.000 đ,,,Nam,Chạy bộ,https://www.adidas.com.vn/vi/giay-ultraboost-5/IF1483.html
11,Adizero Prime X 2.0 STRUNG,Running Shoes,6.500.000 đ,30%,4.550.000 đ,Unisex,Chạy bộ,https://www.adidas.com.vn/vi/giay-adizero-prime-x-2.0-strung/ID0267.html
12,Adidas Crazychaos 2000,Sportswear,2.000.000 đ,,,Unisex,Gym,https://www.adidas.com.vn/vi/giay-crazychaos-2000/IH0456.html
13,Adidas Samba Messi,Football Shoes,2.700.000 đ,,,Unisex,Bóng đá,https://www.adidas.com.vn/vi/giay-da-bong-trong-nha-samba-messi/IH8161.html
14,Turf Predator League,Football Shoes,2.400.000 đ,,,Unisex,Bóng đá,https://www.adidas.com.vn/vi/giay-da-bong-turf-predator-league/IF6376.html
15,Dropset 3,Training Shoes,3.500.000 đ,,,Unisex,Gym,https://www.adidas.com.vn/vi/giay-dropset-3/IH8292.html
16,Firm Ground Predator Elite,Men's Football Shoes,5.800.000 đ,,,Nam,Bóng đá,https://www.adidas.com.vn/vi/giay-da-bong-firm-ground-predator-elite/IF8867.html
17,Adidas GAZELLE,Men's Training Shoes,2.500.000 đ,50%,1.250.000 đ,Nam,Gym,https://www.adidas.com.vn/vi/gazelle/IE8503.html
18,Trainer Dropset 2,Men's Training Shoes,3.500.000 đ,50%,1.750.000 đ,Nam,Gym,https://www.adidas.com.vn/vi/giay-trainer-dropset-2/IE5489.html
19,Trainer Dropset 2,Women's Training Shoes,3.500.000 đ,50%,1.750.000 đ,Nữ,Gym,https://www.adidas.com.vn/vi/giay-trainer-dropset-2/IG0764.html
20,Firm Ground X Speedportal.1,Football Shoes,5.600.000 đ,,,Unisex,Bóng đá,https://www.adidas.com.vn/vi/giay-da-bong-firm-ground-x-speedportal.1/GZ5108.html
21,X Speedflow.3 Turf,Football Shoes,1.900.000 đ,,,Unisex,Bóng đá,https://www.adidas.com.vn/vi/giay-da-bong-x-speedflow.3-turf/GW7509.html
22,RIVALRY HI STAR WARS,Basketball Shoes,3.800.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/rivalry-hi-star-wars/FX9290.html
23,D.O.N Issue #6 Haribo,Basketball Shoes,3.300.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/giay-bong-ro-d.o.n-issue-6-haribo/JH7918.html
24,Forum 84,Basketball Shoes,3.300.000 đ,,,Unisex,Bóng rổ,https://www.adidas.com.vn/vi/giay-forum-84/GW2203.html
