Mã sản phẩm,Tên sản phẩm,Mô tả,Giá,sale,giá sau sale,Giới tính,Loại sản phẩm,Link sp
1,Easy Rider Vintage,Men's running shoes,2.499.000 đ,,,Nam,Chạy bộ,https://www.maisononline.vn/products/puma-giay-sneakers-nam-co-thap-easy-rider-vintage-399028-1?color=01
2,Deviate NITRO™ Elite 3,Women's running shoes,5.499.000 đ,,,Nữ,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-nu-deviate-nitro-elite-3-310555-1?color=01
3,Velocity NITRO™ 3,Men's running shoes,3.399.000 đ,,,Nam,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-nam-velocity-nitro-3-trail-377748-3?color=16
4,Velocity NITRO™ 3,Women's running shoes,3.399.000 đ,,,Nữ,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-nu-velocity-nitro-3-377749-2?color=01
5,Softride Enzo,Running Shoes,1.999.000 đ,,,Unisex,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-unisex-softride-enzo-377048-6?color=25
6,Deviate NITRO™ Elite 3,Men's running shoes,5.499.000 đ,,,Nam,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-nam-deviate-nitro-elite-3-310554-1?color=01
7,Softride Enzo Evo,Running Shoes,1.699.000 đ,,,Unisex,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-unisex-softride-enzo-evo-377875-2?color=01
8,MB.03 Lo,Basketball Shoes,3.699.000 đ,,,Unisex,Bóng rổ,https://www.maisononline.vn/products/puma-giay-bong-ro-unisex-rs-trck-expeditions-310384-1?color=03
9,Scoot Zeros Retro Portland,Men's Basketball Shoes,2.599.000 đ,,,Nam,Bóng rổ,https://www.maisononline.vn/products/puma-giay-bong-ro-nam-scoot-zeros-retro-portland-311070-1?color=01
10,Darter Pro,Running Shoes,2.099.000 đ,,,Unisex,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-unisex-darter-pro-310152-1?color=06
11,Soft Ride One 4 All Running,Women's running shoes,1.699.000 đ,,,Nữ,Chạy bộ,https://www.maisononline.vn/products/puma-giay-chay-bo-nu-soft-ride-one-4-all-running-377672-1?color=14
12,R78 Disrupt,Women's running shoes,2.099.000 đ,,,Nữ,Chạy bộ,https://www.maisononline.vn/products/puma-giay-sneakers-nu-co-thap-r78-disrupt-397675-2?color=01
13,Puma Suede 2 One Piece Team Regal Future,Running Shoes,2.999.000 đ,37%,1.879.000 đ,Unisex,Gym,https://supersports.com.vn/collections/puma/products/giay-the-thao-unisex-puma-suede-2-one-piece-team-regal-future-39652101-red#
14,FUTURE 7 PRO FG/AG,Football Shoes,3.639.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-future-7-pro-fg-ag
15,FUTURE 7 PRO Cage TT,Football Shoes,3.099.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-future-7-pro-cage-tt
16,ULTRA 5 MATCH VOL. UP TT,Football Shoes,2.259.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-ultra-5-match-vol-up-tt
17,FUTURE 7 MATCH VOL. UP TT,Football Shoes,2.259.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-future-7-match-vol-up-tt
18,ULTRA 5 PRO CAGE TT,Football Shoes,3.099.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-ultra-5-pro-cage-tt
19,ULTRA 5 MATCH TT,Football Shoes,2.259.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-ultra-5-match-tt
20,ULTRA 5 PRO FG/AG,Football Shoes,3.639.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-ultra-5-pro-fg-ag
21,FUTURE 7 MATCH TT,Football Shoes,2.259.000 đ,,,Unisex,Bóng đá,https://pumafootball.vn/products/giay-puma-future-7-match-tt-10772001-trang-hong
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
